date,home_team,away_team,tournament,neutral,elo_diff_pre,outcome
1872-11-30,Scotland,England,Friendly,False,100.0,D
1873-03-08,England,Scotland,Friendly,False,105.6025999921153,H
1874-03-07,Scotland,England,Friendly,False,73.24506172854899,H
1875-03-06,England,Scotland,Friendly,False,110.90989103525771,D
1876-03-04,Scotland,England,Friendly,False,95.26621667173822,H
1876-03-25,Scotland,Wales,Friendly,False,110.45138689954729,H
1877-03-03,England,Scotland,Friendly,False,66.11493365339015,A
1877-03-05,Wales,Scotland,Friendly,False,45.763579501775666,A
1878-03-02,Scotland,England,Friendly,False,186.49038830948098,H
1878-03-23,Scotland,Wales,Friendly,False,198.35460282806866,H
1879-01-18,England,Wales,Friendly,False,103.58485979628949,H
1879-04-05,England,Scotland,Friendly,False,-11.864469555740925,H
1879-04-07,Wales,Scotland,Friendly,False,-19.31576255803884,A
1880-03-13,Scotland,England,Friendly,False,207.70984568952008,H
1880-03-15,Wales,England,Friendly,False,59.982827721778676,A
1880-03-27,Scotland,Wales,Friendly,False,268.7263390981243,H
1881-02-26,England,Wales,Friendly,False,170.01863048854943,A
1881-03-12,England,Scotland,Friendly,False,-26.40967727956877,A
1881-03-14,Wales,Scotland,Friendly,False,-85.83691120590083,A
1882-02-18,Northern Ireland,England,Friendly,False,146.97102517842904,A
1882-02-25,Wales,Northern Ireland,Friendly,False,58.341461367403326,H
1882-03-11,Scotland,England,Friendly,False,235.60058898945476,H
1882-03-13,Wales,England,Friendly,False,46.741261743416544,H
1882-03-25,Scotland,Wales,Friendly,False,291.2292997420036,H
1883-02-03,England,Wales,Friendly,False,133.5731709235199,H
1883-02-24,England,Northern Ireland,Friendly,False,146.70442162758354,H
1883-03-10,England,Scotland,Friendly,False,-44.0663369850256,A
1883-03-12,Wales,Scotland,Friendly,False,-125.24161581141652,A
1883-03-17,Northern Ireland,Wales,Friendly,False,110.13093770137812,D
1884-01-26,Northern Ireland,Scotland,British Home Championship,False,-141.08132344131923,A
1884-02-09,Wales,Northern Ireland,British Home Championship,False,114.45079320179843,H
1884-02-23,Northern Ireland,England,British Home Championship,False,-8.271788848121105,A
1884-03-15,Scotland,England,British Home Championship,False,258.49422140737556,H
1884-03-17,Wales,England,British Home Championship,False,22.236751550099825,A
1884-03-29,Scotland,Wales,British Home Championship,False,377.23330174112084,H
1885-02-28,England,Northern Ireland,British Home Championship,False,298.5610535650387,H
1885-03-14,England,Wales,British Home Championship,False,251.53364405692287,D
1885-03-14,Scotland,Northern Ireland,British Home Championship,False,452.11103491305835,H
1885-03-21,England,Scotland,British Home Championship,False,-50.13252054614213,D
1885-03-23,Wales,Scotland,British Home Championship,False,-180.93575773283533,A
1885-04-11,Northern Ireland,Wales,British Home Championship,False,39.78750327740181,A
1885-11-28,United States,Canada,Friendly,False,100.0,A
1886-02-27,Wales,Northern Ireland,British Home Championship,False,231.23124917082941,H
1886-03-13,Northern Ireland,England,British Home Championship,False,-160.9704562887714,A
1886-03-20,Northern Ireland,Scotland,British Home Championship,False,-341.4280781977591,A
1886-03-27,Scotland,England,British Home Championship,False,253.79723233011532,D
1886-03-29,Wales,England,British Home Championship,False,-31.0284971739743,A
1886-04-10,Scotland,Wales,British Home Championship,False,386.62074400096867,H
1886-11-25,United States,Canada,Friendly,False,74.3974000078847,H
1887-02-05,England,Northern Ireland,British Home Championship,False,432.22303545651835,H
1887-02-19,Scotland,Northern Ireland,British Home Championship,False,557.1181820608695,H
1887-02-26,England,Wales,British Home Championship,False,282.3150503764791,H
1887-03-12,Northern Ireland,Wales,British Home Championship,False,-53.05161960254759,H
1887-03-19,England,Scotland,British Home Championship,False,-7.330226543453364,A
1887-03-21,Wales,Scotland,British Home Championship,False,-253.06222629199397,A
1888-02-04,England,Wales,British Home Championship,False,324.86831571396897,H
1888-03-03,Wales,Northern Ireland,British Home Championship,False,176.58228036287983,H
1888-03-10,Scotland,Wales,British Home Championship,False,455.6590578153732,H
1888-03-17,Scotland,England,British Home Championship,False,241.4963728377079,A
1888-03-24,Northern Ireland,Scotland,British Home Championship,False,-331.853320578138,A
1888-04-07,Northern Ireland,England,British Home Championship,False,-295.6186496627515,A
1888-09-19,Scotland,Canada,Friendly,False,302.40466133086807,H
1889-02-23,England,Wales,British Home Championship,False,378.4891551548999,H
1889-03-02,England,Northern Ireland,British Home Championship,False,518.3086658997315,H
1889-03-09,Scotland,Northern Ireland,British Home Championship,False,567.3901139863187,H
1889-04-13,England,Scotland,British Home Championship,False,54.21843210299494,A
1889-04-15,Wales,Scotland,British Home Championship,False,-255.15876876654283,D
1889-04-27,Northern Ireland,Wales,British Home Championship,False,-43.90094739278584,A
1890-02-08,Wales,Northern Ireland,British Home Championship,True,183.24494807123756,H
1890-03-15,Northern Ireland,England,British Home Championship,False,-342.48044028100253,A
1890-03-15,Wales,England,British Home Championship,False,-140.82330535126425,A
1890-03-22,Scotland,Wales,British Home Championship,False,417.0025073761708,H
1890-03-29,Northern Ireland,Scotland,British Home Championship,False,-427.2168451877144,A
1890-04-05,Scotland,England,British Home Championship,False,157.60478821792617,D
1891-02-07,Northern Ireland,Wales,British Home Championship,False,-104.37293613572615,H
1891-03-07,England,Wales,British Home Championship,False,418.6330660735814,H
1891-03-07,England,Northern Ireland,British Home Championship,False,549.8320775599661,H
1891-03-21,Wales,Scotland,British Home Championship,False,-267.81898851773735,A
1891-03-28,Scotland,Northern Ireland,British Home Championship,False,598.0821201710673,H
1891-04-04,England,Scotland,British Home Championship,False,55.68056675567868,H
1892-02-27,Wales,Northern Ireland,British Home Championship,False,220.61524336771618,D
1892-03-05,Northern Ireland,England,British Home Championship,False,-359.816031252961,A
1892-03-05,Wales,England,British Home Championship,False,-261.08142149943797,A
1892-03-19,Northern Ireland,Scotland,British Home Championship,False,-383.93901281477247,A
1892-03-26,Scotland,Wales,British Home Championship,False,486.28651363524546,H
1892-04-02,Scotland,England,British Home Championship,False,112.26751237702001,A
1893-02-25,England,Northern Ireland,British Home Championship,False,615.4927401309183,H
1893-03-13,England,Wales,British Home Championship,False,517.038019522153,H
1893-03-18,Wales,Scotland,British Home Championship,False,-261.813561036161,A
1893-03-25,Scotland,Northern Ireland,British Home Championship,False,573.4716306875939,H
1893-04-01,England,Scotland,British Home Championship,False,146.3549882124653,H
1894-02-24,Wales,Northern Ireland,British Home Championship,False,187.94528297861189,H
1894-03-03,Northern Ireland,England,British Home Championship,False,-453.1836437293771,D
1894-03-12,Wales,England,British Home Championship,False,-325.71531650817155,A
1894-03-24,Scotland,Wales,British Home Championship,False,468.17624182005216,H
1894-03-31,Northern Ireland,Scotland,British Home Championship,False,-365.60132917942906,A
1894-04-07,Scotland,England,British Home Championship,False,34.08313908324567,D
1895-03-09,England,Northern Ireland,British Home Championship,False,639.5041789129707,H
1895-03-16,Northern Ireland,Wales,British Home Championship,False,4.1154405659290205,D
1895-03-18,England,Wales,British Home Championship,False,547.1277024529534,D
1895-03-23,Wales,Scotland,British Home Championship,False,-262.6677003988618,D
1895-03-30,Scotland,Northern Ireland,British Home Championship,False,563.0934072608075,H
1895-04-06,England,Scotland,British Home Championship,False,164.81387033949272,H
1896-02-29,Wales,Northern Ireland,British Home Championship,False,221.28110794712325,H
1896-03-07,Northern Ireland,England,British Home Championship,False,-459.06572720984195,A
1896-03-16,Wales,England,British Home Championship,False,-314.54176306131717,A
1896-03-21,Scotland,Wales,British Home Championship,False,427.4432538302667,H
1896-03-28,Northern Ireland,Scotland,British Home Championship,False,-372.3577185712045,D
1896-04-04,Scotland,England,British Home Championship,False,-14.554808703050412,H
1897-02-20,England,Northern Ireland,British Home Championship,False,647.5811309207095,H
1897-03-06,Northern Ireland,Wales,British Home Championship,False,-25.709389325529173,H
1897-03-20,Wales,Scotland,British Home Championship,False,-256.1778552229441,D
1897-03-27,Scotland,Northern Ireland,British Home Championship,False,540.2583378169979,H
1897-03-29,England,Wales,British Home Championship,False,531.5605645159362,H
1897-04-03,England,Scotland,British Home Championship,False,194.32654364171208,A
1898-02-19,Wales,Northern Ireland,British Home Championship,False,202.78873862356954,A
1898-03-05,Northern Ireland,England,British Home Championship,False,-393.89635727719633,A
1898-03-19,Scotland,Wales,British Home Championship,False,487.7650799618059,H
1898-03-26,Northern Ireland,Scotland,British Home Championship,False,-350.59703217820197,A
1898-03-28,Wales,England,British Home Championship,False,-342.67062319169963,A
1898-04-02,Scotland,England,British Home Championship,False,50.81697954774654,A
1899-02-18,England,Northern Ireland,British Home Championship,False,637.8647664842833,H
1899-03-04,Northern Ireland,Wales,British Home Championship,False,41.349467018495034,H
1899-03-18,Wales,Scotland,British Home Championship,False,-293.7650032697993,A
1899-03-20,England,Wales,British Home Championship,False,606.4511644980025,H
1899-03-25,Scotland,Northern Ireland,British Home Championship,False,535.8911066797773,H
1899-04-08,England,Scotland,British Home Championship,False,191.38928710270034,H
1900-02-03,Scotland,Wales,British Home Championship,False,510.90588778416054,H
1900-02-24,Wales,Northern Ireland,British Home Championship,False,121.10168414367536,H
1900-03-03,Northern Ireland,Scotland,British Home Championship,False,-352.2350216526354,A
1900-03-17,Northern Ireland,England,British Home Championship,False,-462.0632117613477,A
1900-03-26,Wales,England,British Home Championship,False,-407.875721862923,D
1900-04-07,Scotland,England,British Home Championship,False,11.827491634493754,H
1901-02-23,Scotland,Northern Ireland,British Home Championship,False,592.7489799751324,H
1901-03-02,Wales,Scotland,British Home Championship,False,-322.92707588597386,D
1901-03-09,England,Northern Ireland,British Home Championship,False,632.8412754112846,H
1901-03-18,England,Wales,British Home Championship,False,548.1368977697007,H
1901-03-23,Northern Ireland,Wales,British Home Championship,False,15.223504333784604,A
1901-03-30,England,Scotland,British Home Championship,False,149.72628061514752,D
1902-02-22,Wales,Northern Ireland,British Home Championship,False,216.090158099963,A
1902-03-01,Northern Ireland,Scotland,British Home Championship,False,-369.3952086032325,A
1902-03-03,Wales,England,British Home Championship,False,-372.3536581888968,D
1902-03-15,Scotland,Wales,British Home Championship,False,528.9529144534856,H
1902-03-22,Northern Ireland,England,British Home Championship,False,-401.08028665695315,A
1902-05-03,England,Scotland,British Home Championship,False,119.85348481381993,D
1902-07-20,Uruguay,Argentina,Friendly,False,100.0,A
1902-10-12,Austria,Hungary,Friendly,False,100.0,H
1903-02-14,England,Northern Ireland,British Home Championship,False,601.5255194954748,H
1903-03-02,England,Wales,British Home Championship,False,550.6492874510284,H
1903-03-09,Wales,Scotland,British Home Championship,False,-340.25282775452683,A
1903-03-21,Scotland,Northern Ireland,British Home Championship,False,597.0471702907182,A
1903-03-28,Northern Ireland,Wales,British Home Championship,False,94.22011837353602,H
1903-04-04,England,Scotland,British Home Championship,False,152.7048646283547,A
1903-04-05,Hungary,Czechoslovakia,Friendly,False,85.6025999921153,H
1903-06-11,Hungary,Austria,Friendly,False,78.79003344688317,H
1903-09-13,Argentina,Uruguay,Friendly,False,154.4055249832454,A
1903-10-11,Austria,Hungary,Friendly,False,105.66930236466078,H
1904-02-29,Wales,England,British Home Championship,False,-352.1216776219719,D
1904-03-12,Northern Ireland,England,British Home Championship,False,-313.3063661660842,A
1904-03-12,Scotland,Wales,British Home Championship,False,530.306195618077,D
1904-03-21,Wales,Northern Ireland,British Home Championship,False,104.21161277019974,A
1904-03-26,Northern Ireland,Scotland,British Home Championship,False,-287.8549667608645,D
1904-04-09,Scotland,England,British Home Championship,False,70.99448265135152,A
1904-05-01,Belgium,France,Évence Coppée Trophy,False,100.0,D
1904-06-02,Hungary,Austria,Friendly,False,73.18361764438669,H
1904-10-09,Austria,Hungary,Friendly,False,99.08162685893103,H
1905-02-12,France,Switzerland,Friendly,False,104.20194999408659,H
1905-02-25,England,Northern Ireland,British Home Championship,False,514.4932973318075,D
1905-03-06,Wales,Scotland,British Home Championship,False,-294.1629543409374,H
1905-03-18,Scotland,Northern Ireland,British Home Championship,False,397.9073704650225,H
1905-03-27,England,Wales,British Home Championship,False,507.6805375709889,H
1905-04-01,England,Scotland,British Home Championship,False,186.6647908508496,H
1905-04-08,Northern Ireland,Wales,British Home Championship,False,117.36351519202003,D
1905-04-09,Hungary,Austria,Friendly,False,86.47221986786553,D
1905-04-17,Guernsey,Alderney,Muratti Vase,False,100.0,H
1905-04-27,Jersey,Guernsey,Muratti Vase,False,77.05414373743383,A
1905-04-30,Belgium,Netherlands,Friendly,False,95.79805000591341,A
1905-05-07,Belgium,France,Friendly,False,62.301887546263515,H
